ATM_ID,Area,Date,Day_of_Week,Time_of_Day,Location_Type,Total_Withdrawals,Total_Deposits,Holiday_Flag,Special_Event_Flag,Weather_Condition,Nearby_Competitor_ATMs,Previous_Day_Cash_Level,Cash_Demand_Next_Day
ATM1,Navrangpura,2024-01-01,Monday,Night,Urban,58758,37686,1,1,Foggy,5,76878,64772
ATM2,Chandkheda,2024-01-02,Tuesday,Morning,Residential,18260,13382,0,0,Foggy,1,36088,25910
ATM3,Chandkheda,2024-01-03,Wednesday,Morning,Residential,26366,18072,0,0,Clear,4,43612,31782
ATM4,Vastrapur,2024-01-04,Thursday,Night,Urban,62740,41528,0,1,Clear,5,81336,70134
ATM5,Ellisbridge,2024-01-05,Friday,Night,Urban,38259,27905,0,0,Rainy,0,52575,41737
ATM6,Navrangpura,2024-01-06,Saturday,Afternoon,Urban,63461,46969,0,0,Rainy,3,75437,67292
ATM7,Bopal,2024-01-07,Sunday,Morning,Rural,19220,12204,0,0,Cloudy,1,38671,21303
ATM8,Vastrapur,2024-01-08,Monday,Morning,Urban,69013,52050,0,1,Cloudy,1,81079,71463
ATM9,Ellisbridge,2024-01-09,Tuesday,Night,Urban,55114,41715,0,0,Foggy,2,72321,59703
ATM10,Bopal,2024-01-10,Wednesday,Morning,Rural,19155,13429,0,1,Clear,0,37298,28903
ATM11,Maninagar,2024-01-11,Thursday,Evening,Residential,25610,18511,0,0,Rainy,4,44953,33796
ATM12,Maninagar,2024-01-12,Friday,Night,Residential,21765,13995,0,0,Cloudy,0,35328,28938
ATM13,Maninagar,2024-01-13,Saturday,Night,Residential,33397,20866,0,0,Rainy,1,49269,39261
ATM14,Chandkheda,2024-01-14,Sunday,Morning,Residential,25430,17478,0,0,Clear,2,38750,29775
ATM15,Chandkheda,2024-01-15,Monday,Evening,Residential,21780,15986,0,0,Rainy,1,32197,27276
ATM16,Ellisbridge,2024-01-16,Tuesday,Morning,Urban,52397,36206,0,0,Rainy,4,65397,58094
ATM17,Ellisbridge,2024-01-17,Wednesday,Morning,Urban,65274,44939,0,1,Clear,4,81931,73238
ATM18,Navrangpura,2024-01-18,Thursday,Afternoon,Urban,56811,37654,0,0,Clear,3,69534,63971
ATM19,Vastrapur,2024-01-19,Friday,Afternoon,Urban,45343,34292,0,0,Clear,4,58030,53162
ATM20,Chandkheda,2024-01-20,Saturday,Morning,Residential,39831,24862,0,1,Clear,4,59365,45857
ATM21,SG Highway,2024-01-21,Sunday,Morning,Business,50798,30812,0,0,Cloudy,4,65051,56632
ATM22,Chandkheda,2024-01-22,Monday,Night,Residential,24511,17471,0,0,Foggy,5,43959,32388
ATM23,Vastrapur,2024-01-23,Tuesday,Afternoon,Urban,77212,51379,0,1,Rainy,4,92779,83500
ATM24,Gota,2024-01-24,Wednesday,Afternoon,Rural,15389,11509,0,0,Cloudy,5,29238,22512
ATM25,Maninagar,2024-01-25,Thursday,Night,Residential,29152,19390,0,0,Foggy,0,46068,31367
ATM26,SG Highway,2024-01-26,Friday,Morning,Business,72658,51212,1,0,Cloudy,4,88221,75994
ATM27,Vastrapur,2024-01-27,Saturday,Morning,Urban,55378,39653,0,0,Rainy,5,74049,57468
ATM28,Navrangpura,2024-01-28,Sunday,Night,Urban,50121,30518,0,0,Rainy,4,67503,52167
ATM29,Chandkheda,2024-01-29,Monday,Morning,Residential,15095,10340,0,0,Rainy,1,33668,20444
ATM30,Gota,2024-01-30,Tuesday,Afternoon,Rural,14194,10503,0,0,Clear,4,24394,19155
ATM31,SG Highway,2024-01-31,Wednesday,Afternoon,Business,55649,42132,0,1,Rainy,1,69841,63983
ATM32,SG Highway,2024-02-01,Thursday,Evening,Business,59184,46628,1,0,Cloudy,5,72854,68000
ATM33,Chandkheda,2024-02-02,Friday,Night,Residential,25434,16354,0,0,Cloudy,1,38414,33274
ATM34,Thaltej,2024-02-03,Saturday,Night,Urban,51153,38785,0,0,Foggy,0,67935,57716
